%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
47.0, 187500.0, 187500.0, 33853.77333805244, -183804.76490315972, 187500.0, -183126.3224037078, -183560.39328102986, -183402.12057854183, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991298987805E9, 0.0, 2024-02-26 18:48:18.987
48.0, 187500.0, 187500.0, 32504.219711329904, -183723.87393997598, 187500.0, -183035.26139679688, -183485.67139931576, -183326.75049623853, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991298987834E9, 0.0, 2024-02-26 18:48:18.987
49.0, 187500.0, 187500.0, 32066.01376128361, -183794.30428675466, 187500.0, -183094.62763007017, -183566.29414156606, -183406.4344652217, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991298987852E9, 0.0, 2024-02-26 18:48:18.987
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.064, -0.006, 0.986, 192.0, 2.0, 0.0, 255.0, 208.0, 30.0, 208.0, 0.0, 0.0, 0.0, 1.708991299053106E9, 0.0, 2024-02-26 18:48:19.053
1.0, 187500.0, 187500.0, 38228.43441110068, -183101.2213946845, 187500.0, -182923.435619287, -185477.4353477282, -183979.01910293332, 0.064, -0.006, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991299070101E9, 0.0, 2024-02-26 18:48:19.070
2.0, 187500.0, 187500.0, 37812.021411898306, -183024.51020771387, 187500.0, -182863.0635575132, -185406.24504163803, -183907.33705846514, 0.064, -0.006, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991299074103E9, 0.0, 2024-02-26 18:48:19.074
3.0, 187500.0, 187500.0, 36890.07900835026, -182874.19472625194, 187500.0, -182799.91987942695, -185260.6234265117, -183761.134297983, 0.064, -0.006, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991299077095E9, 0.0, 2024-02-26 18:48:19.077
4.0, 187500.0, 187500.0, 36920.79030523185, -182889.23745027036, 187500.0, -182793.41552179045, -185285.18799366808, -183784.76009187225, 0.064, -0.006, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991299082095E9, 0.0, 2024-02-26 18:48:19.082
5.0, 187500.0, 187500.0, 37875.142738240094, -183040.96109163298, 187500.0, -182924.66496523202, -185448.75805959202, -183947.5701984847, 0.064, -0.006, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991299085095E9, 0.0, 2024-02-26 18:48:19.085
6.0, 187500.0, 187500.0, 37788.4179697535, -183024.28669026933, 187500.0, -182906.0236103563, -185440.6220246103, -183938.1154105801, 0.064, -0.006, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991299089099E9, 0.0, 2024-02-26 18:48:19.089
7.0, 187500.0, 187500.0, 36810.506798089365, -182868.24916222683, 187500.0, -182796.52241426974, -185289.18895592558, -183785.4753476948, 0.064, -0.006, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708991299093122E9, 0.0, 2024-02-26 18:48:19.093
