%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056, 0.014, 0.98, 192.0, 1.0, 192.0, 0.0, 112.0, 30.0, 160.0, 0.0, 0.0, 0.0, 1.708990782686218E9, 0.0, 2024-02-26 18:39:42.686
1.0, -187500.02235174447, -187500.02235174447, 178582.659790833, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.014, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782702237E9, 0.0, 2024-02-26 18:39:42.702
2.0, -187500.02235174447, -187500.02235174447, 178542.896037447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.014, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782706217E9, 0.0, 2024-02-26 18:39:42.706
3.0, -187500.02235174447, -187500.02235174447, 178491.01763856623, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.014, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782709259E9, 0.0, 2024-02-26 18:39:42.709
4.0, -187500.02235174447, -187500.02235174447, 178449.15282120142, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.014, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782712215E9, 0.0, 2024-02-26 18:39:42.712
5.0, -187500.02235174447, -187500.02235174447, 178419.62616677597, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.014, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782717197E9, 0.0, 2024-02-26 18:39:42.717
6.0, -187500.02235174447, -187500.02235174447, 178376.37554125497, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.014, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782720213E9, 0.0, 2024-02-26 18:39:42.720
7.0, -187500.02235174447, -187500.02235174447, 178310.6837643008, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.014, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782724208E9, 0.0, 2024-02-26 18:39:42.724
8.0, -187500.02235174447, -187500.02235174447, 178241.1698390448, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.02, 0.98, 192.0, 1.0, 192.0, 0.0, 160.0, 30.0, 160.0, 0.0, 0.0, 0.0, 1.708990782728214E9, 0.0, 2024-02-26 18:39:42.728
9.0, -187500.02235174447, -187500.02235174447, 178157.06022465948, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.056, 0.02, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708990782732211E9, 0.0, 2024-02-26 18:39:42.732
